year,health_authority,population_total
2011,Fraser,104556
2011,Interior,109360
2011,Northern,107574
2011,Vancouver Coastal,57544
2011,Vancouver Island,97562
2012,Fraser,109828
2012,Interior,114138
2012,Northern,109458
2012,Vancouver Coastal,59156
2012,Vancouver Island,102000
2013,Fraser,115168
2013,Interior,118874
2013,Northern,111240
2013,Vancouver Coastal,60770
2013,Vancouver Island,106516
2014,Fraser,120436
2014,Interior,123684
2014,Northern,113086
2014,Vancouver Coastal,62428
2014,Vancouver Island,110922
2015,Fraser,125782
2015,Interior,128448
2015,Northern,114932
2015,Vancouver Coastal,63948
2015,Vancouver Island,115434
2016,Fraser,131046
2016,Interior,133268
2016,Northern,116784
2016,Vancouver Coastal,65584
2016,Vancouver Island,119846
2017,Fraser,132414
2017,Interior,136836
2017,Northern,116900
2017,Vancouver Coastal,66460
2017,Vancouver Island,122784
2018,Fraser,133800
2018,Interior,140458
2018,Northern,116996
2018,Vancouver Coastal,67324
2018,Vancouver Island,125680
2019,Fraser,135184
2019,Interior,143980
2019,Northern,117136
2019,Vancouver Coastal,68196
2019,Vancouver Island,128624
2020,Fraser,136578
2020,Interior,147584
2020,Northern,117216
2020,Vancouver Coastal,69038
2020,Vancouver Island,131568
2021,Fraser,137902
2021,Interior,151188
2021,Northern,117350
2021,Vancouver Coastal,69948
2021,Vancouver Island,134462
2022,Fraser,141702
2022,Interior,156172
2022,Northern,119564
2022,Vancouver Coastal,70302
2022,Vancouver Island,137162
2023,Fraser,145600
2023,Interior,161204
2023,Northern,121722
2023,Vancouver Coastal,70526
2023,Vancouver Island,139802
2024,Fraser,149646
2024,Interior,166338
2024,Northern,123904
2024,Vancouver Coastal,70694
2024,Vancouver Island,142464
2025,Fraser,153656
2025,Interior,171650
2025,Northern,126120
2025,Vancouver Coastal,70738
2025,Vancouver Island,145166
2026,Fraser,157972
2026,Interior,176994
2026,Northern,128166
2026,Vancouver Coastal,70828
2026,Vancouver Island,147808
2027,Fraser,162360
2027,Interior,182484
2027,Northern,130170
2027,Vancouver Coastal,70796
2027,Vancouver Island,150506
2028,Fraser,166916
2028,Interior,188066
2028,Northern,132090
2028,Vancouver Coastal,70688
2028,Vancouver Island,153148
2029,Fraser,171672
2029,Interior,193746
2029,Northern,133892
2029,Vancouver Coastal,70432
2029,Vancouver Island,155794
2030,Fraser,176548
2030,Interior,199492
2030,Northern,135646
2030,Vancouver Coastal,70098
2030,Vancouver Island,158432
2031,Fraser,181600
2031,Interior,205202
2031,Northern,137318
2031,Vancouver Coastal,69736
2031,Vancouver Island,161038
2032,Fraser,186822
2032,Interior,210962
2032,Northern,138848
2032,Vancouver Coastal,69336
2032,Vancouver Island,163596
2033,Fraser,192144
2033,Interior,216822
2033,Northern,140366
2033,Vancouver Coastal,68766
2033,Vancouver Island,166118
2034,Fraser,197618
2034,Interior,222674
2034,Northern,141788
2034,Vancouver Coastal,68220
2034,Vancouver Island,168520
2035,Fraser,203278
2035,Interior,228570
2035,Northern,143042
2035,Vancouver Coastal,67536
2035,Vancouver Island,170944
2036,Fraser,209094
2036,Interior,234396
2036,Northern,144218
2036,Vancouver Coastal,66810
2036,Vancouver Island,173306
2037,Fraser,215072
2037,Interior,240244
2037,Northern,145262
2037,Vancouver Coastal,66058
2037,Vancouver Island,175566
2038,Fraser,221166
2038,Interior,246166
2038,Northern,146170
2038,Vancouver Coastal,65148
2038,Vancouver Island,177854
2039,Fraser,227330
2039,Interior,252100
2039,Northern,147028
2039,Vancouver Coastal,64252
2039,Vancouver Island,179968
2040,Fraser,233658
2040,Interior,257956
2040,Northern,147726
2040,Vancouver Coastal,63266
2040,Vancouver Island,182118
2041,Fraser,240146
2041,Interior,263726
2041,Northern,148318
2041,Vancouver Coastal,62218
2041,Vancouver Island,184182
2042,Fraser,246708
2042,Interior,269444
2042,Northern,148826
2042,Vancouver Coastal,61170
2042,Vancouver Island,186156
2043,Fraser,253422
2043,Interior,275044
2043,Northern,149160
2043,Vancouver Coastal,60072
2043,Vancouver Island,188158
2044,Fraser,260204
2044,Interior,280468
2044,Northern,149534
2044,Vancouver Coastal,58950
2044,Vancouver Island,190098
2045,Fraser,267068
2045,Interior,285802
2045,Northern,149768
2045,Vancouver Coastal,57800
2045,Vancouver Island,192034
2046,Fraser,274168
2046,Interior,290942
2046,Northern,149828
2046,Vancouver Coastal,56638
2046,Vancouver Island,193896
